,X,person,speech,syllables,wordsyl,wc
8308,8308,Marco Rubio,"Well, he's just admitted -- as he's just admitted, the reason why those refugees were allowed in was because they messed up in how they used the actual database.",41,28,1.464285714
8349,8349,Marco Rubio,"What makes America special is that we have millions and millions of people that are not rich, that through hard work and perseverance are able to be successful.",41,28,1.464285714
13468,13468,John Kasich,"And their son today stands on this podium in the great state of Ohio not only as the governor, but a candidate for president of the United States.",41,28,1.464285714
13854,13854,Martin O'Malley,But there are certain immutable principles that will not become antique things in our country so long as we defend our country and its values and its freedoms.,41,28,1.464285714
14393,14393,Martin O'Malley,But the reason why people remain angry about it is because people feel like a lot of our legislators got railroaded in a war fever and by polls.,41,28,1.464285714
1911,1911,Hillary Clinton,Part of the problem that we have currently in the Middle East is that Assad has hung on to power with the very strong support of Russia and Iran and with the proxy of Hezbollah being there basically fighting his battles.,60,41,1.463414634
3902,3902,Hillary Clinton,"And the reason I say that is I think it's very important that, as people move toward the primary on Tuesday, whatever your age, you really think about what someone is proposing and what their record is about getting it done.",60,41,1.463414634
5525,5525,Bernie Sanders,"I would say that â€” that folks who have looked at this issue for a long time, whether itâ€™s Elizabeth Warren or many other economists, will tell you that right now, yes, we do need a twenty onest century Glass- Steagall legislation.",60,41,1.463414634
8028,8028,Marco Rubio,"Do you remember when he ran for president of the United States, and he was a candidate, and he went and said, These Americans with traditional values, they are bitter people, and they cling to their guns and to their religion.",60,41,1.463414634
13092,13092,John Kasich,"And then, when I won for election of governor, I was the first Republican to defeat an incumbent in thirty six years, and the first person to have never run statewide out of politics for ten years to beat an incumbent.",60,41,1.463414634
4525,4525,Bernie Sanders,"But hereâ€™s something that I believe we have to do as we put together an international coalition, and that is we have to understand that the Muslim nations in the region â€” Saudi Arabia, Iran, Turkey, Jordan â€” all of these nations, theyâ€™re going to have to get their hands dirty, their boots on the ground.",79,54,1.462962963
10403,10403,Chris Christie,"We need to bring together our European and our Sunni Arab allies, and we need to develop a strategy together to take on ISIS every place that it is around the world, so that together, all of us can take ISIS out, destroy it, and then move on to come back to our country, protect our homeland security and make sure that the American people are safe.",98,67,1.462686567
1923,1923,Hillary Clinton,"Well, I think â€” I think that is very unfair to a few you mentioned, most particularly Jordan, which has put a lot on the line for the United States, has also taken in hundreds of thousands of refugees from Syria, and has been, therefore, subjected to threats and attacks by extremists themselves.",76,52,1.461538462
4679,4679,Bernie Sanders,"What we need is leadership in this country which revitalizes American democracy, and makes people understand that if they stand up and fight back and take on the billionaire class, we can bring about the change that we need.",57,39,1.461538462
9189,9189,Ben Carson,"But, you know, when I look at somebody like Hillary Clinton, who sits there and tells her daughter and a government official that no, this was a terrorist attack, and then tells everybody else that it was a video.",57,39,1.461538462
11750,11750,Jeb Bush,"We need leadership, someone who has a backbone and sticks with things, rather than just talks about them as though anything matters when you're talking about amendments that don't even actually are part of a bill that ever passed.",57,39,1.461538462
13735,13735,Martin O'Malley,"But I think it's important in order to move our country forward that once again Iowa lift up a new leader so we that can make America the compassionate, generous, and inclusive place that we need it to be.",57,39,1.461538462
2753,2753,Hillary Clinton,"There is no disagreement between us on universal coverage for health care, the disagreement is where do we start from and where do we end up.",38,26,1.461538462
3574,3574,Hillary Clinton,They have a view that I just fundamentally disagree with about what the way we have to keep the balance of power in our society is.,38,26,1.461538462
3854,3854,Hillary Clinton,"I'm proud to have ninety percent of my donations from small donors and sixty percent, the highest ever, from women, which I'm really, really proud of.",38,26,1.461538462
4870,4870,Bernie Sanders,"So what I say to those people who go to Donald Trump's rallies, understand: He thinks a low minimum wage in America is a good idea.",38,26,1.461538462
5434,5434,Bernie Sanders,"We are in much better shape than we were seven years ago, although my Republican colleagues seem to have forgotten where we were seven years ago.",38,26,1.461538462
9243,9243,Ben Carson,"And what we've done now is let the creep of regulation turn into a stampede of regulations, which is involved in every aspect of our lives.",38,26,1.461538462
9405,9405,Ben Carson,"Recognize that the caliphate is what gives them the legitimacy to go out on a jihadist mission, so we need to take that away from them.",38,26,1.461538462
9728,9728,Chris Christie,"Iâ€™m the only person on this stage who spent seven years as a United States Attorney after September eleventh, and I know how to do this.",38,26,1.461538462
10085,10085,Chris Christie,"It is, we are not hiding things from the American people, but China everyday is conducting business in a way that hides things from their people.",38,26,1.461538462
10212,10212,Chris Christie,"And what that's led to over $two trillion of American companies' monies that are being kept offshore, because they don't want to pay the second tax.",38,26,1.461538462
10891,10891,Rand Paul,"Democrats demagogue this issue to death, and when they do they say, oh, a millionaire would get a bigger tax cut than someone making $ten thousand.",38,26,1.461538462
11292,11292,Jeb Bush,"Well, first of all he said the exact same thing about me, that I would make a great Vice Presidential nominee when Mitt Romney was considering.",38,26,1.461538462
12089,12089,Jeb Bush,And the net result is the middle class has $two thousand three hundred less in their pockets than the day that Barack Obama got elected president.,38,26,1.461538462
414,414,Donald Trump,"I know people that, frankly, it has no impact on their life whatsoever.",19,13,1.461538462
1080,1080,Donald Trump,"So you should go out, get a declaratory judgment, let the courts decide.",19,13,1.461538462
1581,1581,Donald Trump,You look at New Hampshire with the tremendous problem we have with heroin.,19,13,1.461538462
1678,1678,Hillary Clinton,We did not put one single American soldier on the ground in Libya.,19,13,1.461538462
2115,2115,Hillary Clinton,So letâ€™s focus on what this election is really going to be about.,19,13,1.461538462
2567,2567,Hillary Clinton,"So, we have a very serious problem that we can no longer ignore.",19,13,1.461538462
2806,2806,Hillary Clinton,"You know, Senator Sanders has said he wants to run a positive campaign.",19,13,1.461538462
2847,2847,Hillary Clinton,And I also have a pretty good understanding about how to stop them.,19,13,1.461538462
2852,2852,Hillary Clinton,"And itâ€™s been judged to be the toughest, most effective and comprehensive one.",19,13,1.461538462
2882,2882,Hillary Clinton,"Look at what I am proposing, and â€” we have a vigorous agreement here.",19,13,1.461538462
3303,3303,Hillary Clinton,"And now their children and they are the target of Islamophobia, of threats.",19,13,1.461538462
3534,3534,Hillary Clinton,I think I can deliver positive change for young people in our country.,19,13,1.461538462
3694,3694,Hillary Clinton,You know they brought in some new multibillionaires to pump the money in.,19,13,1.461538462
3699,3699,Hillary Clinton,"You know, they brought in some new multi-billionaires to pump the money in.",19,13,1.461538462
3916,3916,Hillary Clinton,We've got to get sixty votes to break a filibuster in the Senate.,19,13,1.461538462
4555,4555,Bernie Sanders,"In the last thirty years, there has been a massive redistribution of wealth.",19,13,1.461538462
4795,4795,Bernie Sanders,"You know, we had this incident before, Secretary, with your famous e- mails.",19,13,1.461538462
5687,5687,Bernie Sanders,"But hereâ€™s why I think I will be, if nominated, the strongest candidate.",19,13,1.461538462
5878,5878,Bernie Sanders,I have worked with Republicans when there is common ground throughout my career.,19,13,1.461538462
6182,6182,Bernie Sanders,"I was not quite the marathon runner, but I was a cross-country runner.",19,13,1.461538462
6301,6301,Bernie Sanders,And that's one of the reasons why we are doing well against Republicans.,19,13,1.461538462
6316,6316,Bernie Sanders,"I believe, and I think an objective assessment of my campaign and Sec.",19,13,1.461538462
6761,6761,Ted Cruz,"Well, Neil, I'm glad we're focusing on the important topics of the evening.",19,13,1.461538462
6826,6826,Ted Cruz,There's a reason Gun Owners of America has endorsed me in this race.,19,13,1.461538462
6838,6838,Ted Cruz,"Not too many years ago, Donald did a long interview with Tim Russert.",19,13,1.461538462
6874,6874,Ted Cruz,"And listen, there is a real difference between Marco's tax plan and mine.",19,13,1.461538462
6924,6924,Ted Cruz,"If I am elected president, we will hunt down and kill the terrorists.",19,13,1.461538462
7023,7023,Ted Cruz,"Well, but let me explain, the focus should be on defeating our enemies.",19,13,1.461538462
7036,7036,Ted Cruz,"And I tell you, if I'm elected president, we will secure the border.",19,13,1.461538462
7503,7503,Marco Rubio,Let's dispel with this fiction that Barack Obama doesn't know what he's doing.,19,13,1.461538462
7653,7653,Marco Rubio,leadership on the ground would not allow them to proceed with those airstrikes.,19,13,1.461538462
7739,7739,Marco Rubio,I do support protection for the life of the mother because I'm pro-life.,19,13,1.461538462
7762,7762,Marco Rubio,Barack Obama wants America to be more like the rest of the world.,19,13,1.461538462
7878,7878,Marco Rubio,And until that happens there's not going to be consensus on this issue.,19,13,1.461538462
7893,7893,Marco Rubio,"By the way, no nation on earth is more generous than America is.",19,13,1.461538462
8058,8058,Marco Rubio,"And we need to bring our debt under control, make our economy stronger.",19,13,1.461538462
8079,8079,Marco Rubio,Businesses will now have to pay sixteen percent on the money they make.,19,13,1.461538462
8220,8220,Marco Rubio,"It also, by the way, funds the Iron Dome and other important programs.",19,13,1.461538462
8240,8240,Marco Rubio,"This president cut a deal with their moral enemy, the Shia, in Iran.",19,13,1.461538462
8646,8646,Marco Rubio,"And he became a conservative, even though he got his news in Spanish.",19,13,1.461538462
8731,8731,Marco Rubio,"It was a vacuum that they filled, and they created an operating space.",19,13,1.461538462
8870,8870,Marco Rubio,Unfortunately today we have a VA that does not do enough for them.,19,13,1.461538462
9060,9060,Ben Carson,"Wouldnâ€™t let us be victims, and has been an inspiration to many people.",19,13,1.461538462
9346,9346,Ben Carson,"You know, we should use our economic power in lots of different ways.",19,13,1.461538462
9466,9466,Ben Carson,We need different solutions to solve the problems and to save our nation.,19,13,1.461538462
9617,9617,Chris Christie,"In fact, we vetoed five income tax increases during my time as governor.",19,13,1.461538462
9648,9648,Chris Christie,"Now, let me tell you exactly what we would do on Social Security.",19,13,1.461538462
9770,9770,Chris Christie,I absolutely believe that what the president did at the time was right.,19,13,1.461538462
10404,10404,Chris Christie,"As president of the United States, that is exactly what I will do.",19,13,1.461538462
10571,10571,Chris Christie,"You make these decisions based upon the symptoms, the medicine, and the law.",19,13,1.461538462
10759,10759,Rand Paul,He is the one for an open border that is leaving us defenseless.,19,13,1.461538462
11645,11645,Jeb Bush,And that's what we should focus on is the violence in our communities.,19,13,1.461538462
11853,11853,Jeb Bush,"We have planes that were -- that Harry Truman inaugurated, the B- fifty two.",19,13,1.461538462
12053,12053,Jeb Bush,And it troubles me that people are rewarded for tearing down our country.,19,13,1.461538462
12076,12076,Jeb Bush,They don't believe in building walls and a pessimistic view of the future.,19,13,1.461538462
12086,12086,Jeb Bush,"Barack Obama got his massive tax increase, and there was no spending cuts.",19,13,1.461538462
12093,12093,Jeb Bush,"You don't have to guess about it, because I actually have a record.",19,13,1.461538462
12098,12098,Jeb Bush,"Heck, find me a Republican in Congress that would cut spending ten dollars.",19,13,1.461538462
12215,12215,Jeb Bush,We were the only state to fund crisis pregnancy centers with state moneys.,19,13,1.461538462
12571,12571,John Kasich,"If you delay and you wait, the Washington operators will take you down.",19,13,1.461538462
12679,12679,John Kasich,And we have to have an attitude when we're in government of serving-hood.,19,13,1.461538462
12836,12836,John Kasich,"But you know, we don't want to put everybody in the same category.",19,13,1.461538462
12887,12887,John Kasich,"And together, we can solve these problems that hurt us and heal America.",19,13,1.461538462
12920,12920,John Kasich,And the tools involve encryption where we cannot hear what they're even planning.,19,13,1.461538462
13130,13130,John Kasich,â€ù We need to adopt that as citizens and rebuild and reinspire our country.,19,13,1.461538462
13146,13146,John Kasich,We've got to be responsible about what we propose on the tax side.,19,13,1.461538462
13160,13160,John Kasich,"five percent, didn't cut one benefit or didn't take anybody off the rolls.",19,13,1.461538462
13607,13607,Martin O'Malley,"But incrementalism, half steps, splitting the loaf, that's not going to get us.",19,13,1.461538462
13656,13656,Martin O'Malley,And that is a sensible rebalancing based on the common good we share.,19,13,1.461538462
13701,13701,Martin O'Malley,And so my message to the O'Malley supporters across this state is this.,19,13,1.461538462
14440,14440,Martin O'Malley,Itâ€™ll make wages go up in America $two hundred fifty for every year|,19,13,1.461538462
14311,14311,Martin O'Malley,"I have been tried under many different emergencies and I can tell you that in each of those emergencies, whether they were inflicted by drug gangs, whether they were natural emergencies, I knew how to lead and I knew how to govern because I know how to manage people in a crisis and be very clear about the goal of protecting human life.",92,63,1.46031746
5784,5784,Bernie Sanders,"And then on top of that, people see that that rigged economy is sustained by a corrupt, and I use that word advisedly, a corrupt campaign finance system that allows billionaires today to spend as much money as they want through Super PACs to elect the candidates of their choice.",73,50,1.46
13720,13720,Martin O'Malley,"And that I am the only - I am the only one of the three of us who has a track record not of being a divider, but of bringing people together to get meaningful things done: raising the living wage, making college more affordable, creating jobs, healing wounds and divisions.",73,50,1.46
4054,4054,Bernie Sanders,"So what we need to do is support small and medium-sized businesses, the backbone of our economy, but we have to make sure that every family in this country gets a fair shake not just for billionaires.",54,37,1.459459459
4089,4089,Bernie Sanders,"Second of all, I heard the same evidence from President Bush and Dick Cheney and Don Rumsfeld about why we should overthrow Saddam Hussein and get involved in the â€” I would urge people to go to berniesanders.",54,37,1.459459459
4250,4250,Bernie Sanders,"â€ù As someone who has taken on probably every special interest that there is in Washington, I would lump Wall Street and the pharmaceutical industry at the top of my life of people who do not like me.",54,37,1.459459459
4295,4295,Bernie Sanders,"So what we need to do is support small and medium-sized businesses, the backbone of our economy, but we have to make sure that every family in this country gets a fair shake not just for billionaires.",54,37,1.459459459
4330,4330,Bernie Sanders,"Second of all, I heard the same evidence from President Bush and Dick Cheney and Don Rumsfeld about why we should overthrow Saddam Hussein and get involved in the â€” I would urge people to go to berniesanders.",54,37,1.459459459
4491,4491,Bernie Sanders,"â€ù As someone who has taken on probably every special interest that there is in Washington, I would lump Wall Street and the pharmaceutical industry at the top of my life of people who do not like me.",54,37,1.459459459
5708,5708,Bernie Sanders,"Itâ€™s hard to imagine how people can do, bomb, and kill one hundred sixty eight people in Oklahoma City, or do the Boston Marathon bombing, but this is what I believe, and for a couple of reasons.",54,37,1.459459459
8504,8504,Marco Rubio,This debate needs to be about the men and women across this country that are struggling on a daily basis to provide for their families the better future that we've always said this country is all about.,54,37,1.459459459
11288,11288,Rand Paul,"Iâ€™ve been to Ferguson, Iâ€™ve been to Baltimore, because I want our party to be bigger, better and bolder, and Iâ€™m the only one that leads Hillary Clinton in five states that were won by President Obama.",54,37,1.459459459
13878,13878,Martin O'Malley,"There is now challenge that is too great for us to overcome provided we bring forward in these divided times, new leadership that can heal our divides here at home and bring our principles into alignment abroad.",54,37,1.459459459
14056,14056,Martin O'Malley,"If we were to raise the marginal rate to forty five percent for people earning more than a million dollars and if we tax capital gains essentially the same we do earnings from hard work and sweat and toil, you could generate $eight hundred billion over the next ten years and that would do so much good for affordable college, debt-free college, cutting youth unemployment in half, investing in our cities again.",105,72,1.458333333
7694,7694,Marco Rubio,"I think we need to begin to refocus on rebuilding our military because every time we have cut our military in the history of this country we have had to come back later and rebuild it, and it costs more, and it's a lot more chaotic and dangerous.",70,48,1.458333333
48,48,Donald Trump,"In July of two thousand four, I came out strongly against the war with Iraq, because it was going to destabilize the Middle East.",35,24,1.458333333
1184,1184,Donald Trump,"And unlike President Obama, where he refuses even to use the term of what's going on, he can't use the term for whatever reason.",35,24,1.458333333
1686,1686,Hillary Clinton,"I â€” I think it has to be continued threat from the spread of nuclear weapons, nuclear material that can fall into the wrong hands.",35,24,1.458333333
3189,3189,Hillary Clinton,I went after schools that were being turned into private schools that were really there because they wanted to escape integration in the south.,35,24,1.458333333
3878,3878,Hillary Clinton,"Not talk about the lives that are being destroyed, the people that I meet, the grandmothers raising their grandchildren because they've lost their children.",35,24,1.458333333
4585,4585,Bernie Sanders,"It is not a radical idea to say that if somebody works forty hours a week, that person should not be living in poverty.",35,24,1.458333333
7165,7165,Ted Cruz,"It's much harder and riskier to put out, chapter and verse, specifically the programs you would cut to stop bankrupting our kids and grandkids.",35,24,1.458333333
7455,7455,Ted Cruz,"Well, Bret, of course they have, and over the last six and a half years weâ€™ve seen the consequences of the Obama-Clinton foreign policy.",35,24,1.458333333
8263,8263,Marco Rubio,"But anti-American dictators like Assad, who help Hezbollah, who helped get those IEDs into Iraq, if they go, I will not shed a tear.",35,24,1.458333333
8688,8688,Marco Rubio,"I think that we should have a deeper debate about these issues, because there is no more important decision that a president will make.",35,24,1.458333333
8896,8896,Ben Carson,And â€” and what we have to remember is we want to utilize the tremendous intellect that we have in the military to win wars.,35,24,1.458333333
9477,9477,Ben Carson,"Now, I recognize that the vast majority of people coming in here probably are not those kinds of people, but that's not good enough.",35,24,1.458333333
9627,9627,Chris Christie,"attorney by President Bush on September tenth, two thousand one, and the world changed enormously the next day, and that happened in my state.",35,24,1.458333333
11399,11399,Jeb Bush,"There should be -- if women can meet the requirements, the minimum requirements for combat service they ought to have the right to do it.",35,24,1.458333333
12482,12482,Jeb Bush,"I have that message because I was a governor of a state that saw people lifted up, because we had high sustained economic growth.",35,24,1.458333333
12962,12962,John Kasich,"And let me tell you, at the end, the Saudis have agreed to put together a coalition inside of Syria to stabilize that country.",35,24,1.458333333
14026,14026,Martin O'Malley,My plan actually goes further than Senator Sanders because a big chunk of the cost is actually room and board and books and fees.,35,24,1.458333333
6816,6816,Ted Cruz,"There were four dissenters, and they said that they believe the Second Amendment protects no individual right to keep and bear arms whatsoever, which means, if their view prevailed and the next president's going to get one, two, three, maybe four Supreme Court justices, the court will rule that not a single person in this room has any right under the Second Amendment and the government could confiscate your guns.",102,70,1.457142857
5569,5569,Bernie Sanders,"Well, I think our great task is to make certain that our young men and women in the military do not get sucked into never- ending, perpetual warfare within the quagmire of Syria and Iraq.",51,35,1.457142857
6462,6462,Ted Cruz,"We saw just this past week the head of the border patrol union testify before Congress that President Obama had given the order to the border patrol to stand down, not to enforce the law.",51,35,1.457142857
7129,7129,Ted Cruz,"Every sovereign nation secures its borders, and it is not compassionate to say we're not going to enforce the laws and we're going to drive down the wages for millions of hardworking men and women.",51,35,1.457142857
10000,10000,Chris Christie,"What we need to do, Wolf, is restore those tools that have been taken away by the president and others, restore those tools to the NSA and to our entire surveillance and law enforcement community.",51,35,1.457142857
10452,10452,Chris Christie,"The shame is that you would actually criticize somebody for showing up to work, plowing the streets, getting the trains running back on time when you've never been responsible for that in your entire life.",51,35,1.457142857
7562,7562,Marco Rubio,"And once that is in place and that's working, I believe the American people will support a very reasonable, but responsible approach to people that have been here a long time, who are not dangerous criminals, who pay taxes and pay fines for what they did.",67,46,1.456521739
14363,14363,Martin O'Malley,"Arrests peaked in two thousand three, Anderson, but they declined every year after that as we restored peace in our poorer neighborhoods so that people could actually walk and not have to worry about their kids or their loved ones of being victims of violent crime.",67,46,1.456521739
4069,4069,Bernie Sanders,"A consensus has said we need to strengthen and expand instant background checks, do away with this gun show loophole, that we have to address the issue of mental health, that we have to deal with the strawman purchasing issue, and that when we develop that consensus, we can finally, finally do something to address this issue.",83,57,1.456140351
4310,4310,Bernie Sanders,"A consensus has said we need to strengthen and expand instant background checks, do away with this gun show loophole, that we have to address the issue of mental health, that we have to deal with the strawman purchasing issue, and that when we develop that consensus, we can finally, finally do something to address this issue.",83,57,1.456140351
2653,2653,Hillary Clinton,"Well, the last point on this is, Senator Sanders, you're the only one on this stage that voted to deregulate the financial market in two thousand, to take the cops off the street, to use Governor O'Malley's phrase, to make the SEC and the Commodities Futures Trading Commission no longer able to regulate swaps and derivatives, which were one of the main cause of the collapse in eight.",99,68,1.455882353
8888,8888,Ben Carson,"But I will say, we have a debate here tonight, and we will have an opportunity to explore those areas, and Iâ€™m looking very much forward to demonstrating that, in fact, the thing that is probably most important is having a brain, and to be able to figure things out and learn things very rapidly.",80,55,1.454545455
8950,8950,Ben Carson,"I stress the pediatric part of my career because the reason that Iâ€™ve gotten involved in this race is because Iâ€™m very concerned about the future of our children, and the direction of our country is one that does not portend well, unless we, the people, intervene and retake our rightful place at the pinnacle.",80,55,1.454545455
6392,6392,Ted Cruz,"And the primary voters are making the assessment for each of us, who is best prepared to keep this country safe, to rebuild the military, to rebuild our Navy, our Air Force, our Army, our Marines, and to ensure that we keep America safe.",64,44,1.454545455
10223,10223,Chris Christie,"It would bring the money back into the United States to help build jobs by American companies and get our economy moving again, and growing as a higher rate, and it would rebuild those roads and bridges and tunnels that you were talking about.",64,44,1.454545455
14459,14459,Martin O'Malley,"â€ù We cannot be this dissatisfied with our gridlocked national politics and an economy where seventy percent of us are earning the same or less than we were twelve years ago, and think that a resort to old names is going to move us forward.",64,44,1.454545455
896,896,Donald Trump,"What I like even better than that is getting our smartest and getting our best to infiltrate their Internet, so that we know exactly where they're going, exactly where they're going to be.",48,33,1.454545455
1662,1662,Hillary Clinton,"Because what I worry about is what will happen with ISIS gaining more territory, having more reach, and, frankly, posing a threat to our friends and neighbors in the region and far beyond.",48,33,1.454545455
1935,1935,Hillary Clinton,"Now, there has been a lot of turmoil and trouble as they have tried to deal with these radical elements which you find in this arc of instability, from north Africa to Afghanistan.",48,33,1.454545455
5157,5157,Bernie Sanders,"And second of all, when we talk about addiction being a disease, the Secretary is right, what that means is we need a revolution in this country in terms of mental health treatment.",48,33,1.454545455
5424,5424,Bernie Sanders,"She was in Ohio, I think, in September or November and she got up and said something like, I have been â€” Iâ€™m paraphrasing, I have been criticized because people think Iâ€™m a moderate.",48,33,1.454545455
8151,8151,Marco Rubio,"Today you have millions of Americans that feel left out and out of place in their own country, struggling to live paycheck to paycheck, called bigots because they hold on to traditional values.",48,33,1.454545455
8841,8841,Marco Rubio,"Now, the big companies that have connections with Washington, they can affect policies to help them, but the small companies like the one Tania is talking about, theyâ€™re the ones that are struggling.",48,33,1.454545455
11837,11837,Jeb Bush,"This president and this is what the focus ought to be, it's not the differences between us, it's Barack Obama does not believe America's leadership in the world is a force for good.",48,33,1.454545455
13883,13883,Martin O'Malley,"So, yes, we must talk about our ideas to move our economy forward, but the first job of the president of the United States is to protect the people of the United States.",48,33,1.454545455
14399,14399,Martin O'Malley,"You have to enforce no-fly zones, and I believe, especially with the Russian air force in the air, it could lead to an escalation because of an accident that we would deeply regret.",48,33,1.454545455
33,33,Donald Trump,"The fact is, since then, many killings,murders, crime, drugs pouring across the border, are money going out and the drugs coming in.",32,22,1.454545455
2052,2052,Hillary Clinton,"My proposal is tougher, more effective, and more comprehensive because I go after all of Wall Street not just the big banks.",32,22,1.454545455
2074,2074,Hillary Clinton,"Close the gun show loophole, close the online loophole and I will do everything I can as president to get that accomplished.",32,22,1.454545455
2456,2456,Hillary Clinton,"I met young people who are desperately trying to get clean and have nowhere to go, because there are not enough facilities.",32,22,1.454545455
2527,2527,Hillary Clinton,"You know, I became a grandmother fifteen months ago, and so I spent a lot of time thinking about my granddaughter's future.",32,22,1.454545455
2782,2782,Hillary Clinton,"Letâ€™s talk about what we would do as President, and Commander in Chief to make sure the progress continues into the future.",32,22,1.454545455
2921,2921,Hillary Clinton,"So, weâ€™ve got this arc of instability from North Africa to South Asia, and we have to pay close attention to it.",32,22,1.454545455
5216,5216,Bernie Sanders,"I am very proud that in this campaign, we have seen an enormous amount of excitement from young people, from working people.",32,22,1.454545455
5302,5302,Bernie Sanders,"What the nightmare is, which many of my Republican colleagues appear to want is to not have learned the lesson of Iraq.",32,22,1.454545455
5456,5456,Bernie Sanders,"And I was elected by the Democrats to be chair of the Veterans Committee three years ago, which Iâ€™m very proud of.",32,22,1.454545455
5461,5461,Bernie Sanders,"And you know what, I want a fifty-state strategy so the Democratic Party is not just the party of twenty five states.",32,22,1.454545455
6034,6034,Bernie Sanders,"So those are important issues, but I'll tell you what else is an important issue, and that is the criminal justice issue.",32,22,1.454545455
6453,6453,Ted Cruz,"We're going to increase -- and actually, since Donald enjoyed that, I will simply say, I've got somebody in mind to build it.",32,22,1.454545455
7261,7261,Ted Cruz,"The contrast with the Democratic debate, where every fawning question from the media was, Which of you is more handsome and why?",32,22,1.454545455
7890,7890,Marco Rubio,But you can't -- we're not gonna beat Hillary Clinton with someone who's willing to say or do anything to win an election.,32,22,1.454545455
8436,8436,Marco Rubio,It is the story of a nation that for over two centuries each generation has left the next better off than themselves.,32,22,1.454545455
8593,8593,Marco Rubio,"And, we have a government and leaders in government that are completely out of touch, and that's why I'm running for president.",32,22,1.454545455
9233,9233,Ben Carson,"We could do that, I believe, fairly easily, I've learned from talking to several generals, and then you move on from there.",32,22,1.454545455
10009,10009,Chris Christie,"What they care about is, are we going to have a president who actually knows what they're doing to make these decisions?",32,22,1.454545455
10084,10084,Chris Christie,"Well, what it would like is, we have one of the great advantages of America being the open society that we are.",32,22,1.454545455
11102,11102,Rand Paul,"Every time we have toppled a secular dictator, we have gotten chaos, the rise of radical Islam, and weâ€™re more at risk.",32,22,1.454545455
11184,11184,Rand Paul,"And I donâ€™t want the federal government interfering and putting moms in jail, who are trying to get medicine for their kid|",32,22,1.454545455
11526,11526,Jeb Bush,"And he led the charge to finally fix this immigration problem that has existed now for, as Marco says, for thirty years.",32,22,1.454545455
11561,11561,Jeb Bush,You can -- you can deal with the threat of terror and also recognize that this country should be aspirational across the board.,32,22,1.454545455
12390,12390,Jeb Bush,"We left the state better off because I applied conservative principles in a purple state the right way, and people rose up.",32,22,1.454545455
12403,12403,Jeb Bush,"Not â€” not amnesty, earned legal status, which means you pay a fine and do many things over an extended period of time.",32,22,1.454545455
12985,12985,John Kasich,"Both in Congress in balancing the budget and in Ohio fixing the economy -- and, by the way, we talk about the fence.",32,22,1.454545455
13283,13283,John Kasich,"And it's about sending power, money and influence back to where we live so we can run America from the bottom up.",32,22,1.454545455
13633,13633,Martin O'Malley,"But here's another thing that doesn't work very well in America, unless it's going in the right direction, and that is wages.",32,22,1.454545455
13941,13941,Martin O'Malley,The way that things work in the modern era is actually to gather people around the table and figure these things out.,32,22,1.454545455
19,19,Donald Trump,"And frankly, what I say, and oftentimes itâ€™s fun, itâ€™s kidding.",16,11,1.454545455
428,428,Donald Trump,But I want smaller doses over a longer period of time.,16,11,1.454545455
590,590,Donald Trump,"Such a nasty -- such a nasty question, but thank you, Governor.",16,11,1.454545455
1258,1258,Donald Trump,It will never happen because they'll let their currency go up.,16,11,1.454545455
1326,1326,Donald Trump,"Nobody else wanted to mention the problem, I brought it up.",16,11,1.454545455
1385,1385,Donald Trump,"We're going to get a plan where people compete, free enterprise.",16,11,1.454545455
1427,1427,Donald Trump,I'm going to do the right thing for the American public.,16,11,1.454545455
1965,1965,Hillary Clinton,I also said that we should take increased numbers of refugees.,16,11,1.454545455
2329,2329,Hillary Clinton,It's very important we operate on both at the same time.,16,11,1.454545455
2485,2485,Hillary Clinton,"Well, there's always a retrospective to say what mistakes were made.",16,11,1.454545455
2609,2609,Hillary Clinton,This has been the fight of the Democratic Party for decades.,16,11,1.454545455
3160,3160,Hillary Clinton,"I have had many, many millions of dollars spent against me.",16,11,1.454545455
3308,3308,Hillary Clinton,But there's another element to this that I want to mention.,16,11,1.454545455
3491,3491,Hillary Clinton,But what's most important is the first in the nation primary.,16,11,1.454545455
4612,4612,Bernie Sanders,I am not asking Wall Street or the billionaires for money.,16,11,1.454545455
4722,4722,Bernie Sanders,"Medicare for all, single-payer system is the way we should go.",16,11,1.454545455
4996,4996,Bernie Sanders,We need to pass a Medicare for all single payer system.,16,11,1.454545455
5367,5367,Bernie Sanders,A man who acts that irresponsibly should not stay in power.,16,11,1.454545455
5385,5385,Bernie Sanders,Letâ€™s deal with some of the comments that Secretary Clinton made.,16,11,1.454545455
5520,5520,Bernie Sanders,"Kid gets caught with marijuana, that kid has a police record.",16,11,1.454545455
5834,5834,Bernie Sanders,"Now, I believe that we have an infrastructure that is crumbling.",16,11,1.454545455
6101,6101,Bernie Sanders,"I think as a kid, I did -- my parents weren't political.",16,11,1.454545455
6223,6223,Bernie Sanders,I was in the lead in opposition to the Keystone pipeline.,16,11,1.454545455
6550,6550,Ted Cruz,"And about five, six years ago, Miriam died of an overdose.",16,11,1.454545455
6645,6645,Ted Cruz,"Now, once that is done, everyone agrees we need healthcare reform.",16,11,1.454545455
6896,6896,Ted Cruz,I'm going to -- he had no fewer than eleven attacks there.,16,11,1.454545455
6921,6921,Ted Cruz,We have a president who is unwilling to utter its name.,16,11,1.454545455
7063,7063,Ted Cruz,That is the most important decision for the voters to make.,16,11,1.454545455
